"","Estado","Municipio","Nome","Lat","Long","Operador","Observacao","Volume recebido(toneladas/dia)","Porte","Data Abertura","Fonte_1","Fonte_2","Fonte_3","m3_biomethane_per_ton_rsu"
"44","MA","Rosário","Aterro Sanitário de Titara",-2.9274101322405,-44.2780953920784,"Titara",NA,1200,NA,NA,"https://oimparcial.com.br/cidades/2019/05/aterro-da-titara-ja-atende-sete-cidades-da-regiao-metropolitana/",NA,NA,283535.554510851
"45","ES","Cariacica","Aterro Sanitário de Cariacica",-20.2407428890394,-40.3787502196695,"Marca Ambiental","possui usina de biogás para gerar eletricidade para ES",1500,NA,NA,"https://liberumenergia.com.br/ute-biogas-cariacica-capacidade-instalada-3-mw/#:~:text=In%C3%ADcio%20da%20opera%C3%A7%C3%A3o%3A%202020,com%20pot%C3%AAncia%20instalada%20de%201MW.","https://www.agazeta.com.br/especial-publicitario/marcaambiental/lixo-vira-energia-limpa-e-contade-luz-fica-ate-15-mais-barata-0421",NA,354419.443138563
"46","MT","Sinop","Aterro Sanitário SINOP",-11.8754748970257,-55.452626303464,"SANORTE Saneamento Ambiental LTDA","Aterro Sanitário Classe IIA E IIB - SINOP",200,"Médio",NA,"https://www.gcnoticias.com.br/geral/sanorte-inicia-instalacao-de-aterro-sanitario-em-sinop/66409456#:~:text=O%20documento%20autoriza%20o%20in%C3%ADcio,toneladas%20de%20res%C3%ADduos%20por%20dia.","https://www.gcnoticias.com.br/geral/sanorte-inicia-instalacao-de-aterro-sanitario-em-sinop/66409456",NA,47255.9257518084
"47","MT","Sorriso","Aterro Sanitário de Sorriso",-12.8930611622877,-55.7147306457756,"SANORTE Saneamento Ambiental LTDA","Aterro Sanitário",120,"Pequeno",NA,"https://iema.es.gov.br/Media/iema/CQAI/EIA/2007/Central%20res%C3%ADduos%20Cachoeiro/EA-09-07-0-0%20Volume%20II.pdf","https://www.researchgate.net/publication/330686614_III-045-INDICE_DE_QUALIDADE_DE_ATERRO_DE_RESIDUOS_IQR_COMO_SUBSIDIO_PARA_AVALIACAO_DO_ATERRO_SANITARIO_NO_MUNICIPIO_DE_SORRISO-MT",NA,28353.5554510851
"48","MT","Mirassol D'Oeste","Aterro Sanitário Intermunicipal Nascentes do Pantanal",-15.541439186423,-58.0699961222402,"Consórcio Intermunicipal Nascentes do Pantanal.","Aterro Sanitário Tipo Classe II para Resíduos Sólidos Domiciliares, Usina de Triagem, Compostagem e Tratamento de Resíduos de Serviços de Saúde por Autoclave. Atende a 13 municípios próximos.",NA,NA,NA,"https://www.funasa.gov.br/nova-home/-/asset_publisher/ihdKjCvMf50A/content/funasa-e-consorcio-nascentes-do-pantanal-inauguram-novo-aterro-sanitario-em-mt?inheritRedirect=false","https://www.funasa.gov.br/nova-home/-/asset_publisher/ihdKjCvMf50A/content/funasa-e-consorcio-nascentes-do-pantanal-inauguram-novo-aterro-sanitario-em-mt?inheritRedirect=false",NA,NA
"49","MT","Cuiába","Aterro Sanitário Cuiába",-15.2371089188964,-56.0024455440809,"WM Serviços Ambientais LTDA","O aterro é administrado pela Orizon Valorização de Resíduos. Aterro de Co-disposição de Resíduos Classe II e Armazenamento
Temporário de Resíduos classe I",388,"Médio",NA,"https://www.aedb.br/seget/arquivos/artigos11/26114223.pdf","https://primeirapagina.com.br/meio-ambiente/cuiaba-tera-novo-aterro-apos-esgotar-capacidade-de-lixao/#:~:text=O%20lix%C3%A3o%20que%20foi%20desativado,vergonha%20e%20de%20agress%C3%A3o%20ambiental.","https://wwfbrnew.awsassets.panda.org/downloads/consorcio_seminario_caceres.pdf",91676.4959585084
"50","MT","Rondonópolis","SEGER Resíduos Aterro Sanitário Rondonópolis",-16.0868225856352,-54.719863097411,"REPRAM - Aterro Sanitário de Rondonópolis","Aterro Sanitário para Resíduos Classe II",5192,"Grande",NA,"https://seger.eco/",NA,NA,1226763.83251695
"51","GO","Goiania","Aterro sanitário de Goiânia",-16.6434377518248,-49.3611364725356,"Companhia de Urbanização de Goiânia (Comurg)","toneladas por dia",1100,"Grande",NA,"file:///Users/allissonalmeida/Downloads/668-Texto%20do%20artigo-1662-1-10-20230508.pdf",NA,NA,259907.591634946
"52","GO","Canedo","Aterro Sanitário de Senador Canedo",-16.6178677497336,-49.1003226562015,NA,NA,5.02,"Pequeno",NA,"https://goias.gov.br/meioambiente/wp-content/uploads/sites/33/2023/07/pers_versao_final_forum_de_residuos_solidos-4bd.pdf",NA,NA,1186.12373637039
"53","GO","Anápolis","Aterro Sanitário em Anápolis",-16.2927708189518,-48.895041103264,"Prefeitura de Anápolis, Consórcio GC Ambiental e Cooperativa de Catadores","Anápolis (Possui aterro sanitário licenciado pela SECIMA/GO, com capacidade de processamento para o compartilhamento. O incremento de RSU é de 30%)",567.7,"Médio",NA,"https://oics.cgee.org.br/estudos/-/estudo-de-caso/article/aterro-sanitario-em-anapolis-go-_60d64572f5d8aa3de523c8e6/como-replicar","https://goias.gov.br/meioambiente/wp-content/uploads/sites/33/2023/07/pers_versao_final_forum_de_residuos_solidos-4bd.pdf",NA,134135.945246508
"54","GO","Aparecida de Goiânia","Aterro Aparecida de Goiânia",-16.792316657318,-49.1984967609281,"Aterro Municipal","Aparecida de Goiânia (Possui aterro licenciado pela SECIMA/GO, com capacidade de processamento para o compartilhamento, já que o incremento de RSU é inferior a 5%)",923.12,"Médio",NA,"file:///Users/allissonalmeida/Downloads/22610-Texto%20do%20artigo%20sem%20identifica%C3%A7%C3%A3o%20dos%20autores-132519-1-10-20151221.pdf",NA,NA,218114.450900047
"55","GO","Hidrolândia","Hidrolândia",-16.8265004322462,-49.3071223544981,"Aterro Municipal","Hidrolândia (Possui aterro sanitário licenciado pela SECIMA/GO)",17.8,"Pequeno",NA,"https://goias.gov.br/meioambiente/wp-content/uploads/sites/33/2023/07/pers_versao_final_forum_de_residuos_solidos-4bd.pdf",NA,NA,4205.77739191095
"56","GO","Catalão","Aterro Sanitário de Catalão",-18.1034650204823,-47.9706457920651,"Aterro Municipal",NA,116.49,"Pequeno",NA,"https://goias.gov.br/meioambiente/wp-content/uploads/sites/33/2023/07/pers_versao_final_forum_de_residuos_solidos-4bd.pdf",NA,NA,27524.2139541408
"57","GO","Palminópolis","Aterro Palminópolis",-16.2705362498912,-48.8868013460325,"Aterro Municipal",NA,1.78,"Pequeno",NA,"https://goias.gov.br/meioambiente/wp-content/uploads/sites/33/2023/07/pers_versao_final_forum_de_residuos_solidos-4bd.pdf",NA,NA,420.577739191095
"58","GO","Ouro Verde","Aterro Sanitário Ouro Verde",-15.4228431839634,-48.2414485120304,"Aterro Municipal",NA,4.23,"Pequeno",NA,"https://goias.gov.br/meioambiente/wp-content/uploads/sites/33/2023/07/pers_versao_final_forum_de_residuos_solidos-4bd.pdf",NA,NA,999.462829650749
